ensemble_size,lower_max_superdroplets,upper_max_superdroplets,time_s,metric,full50_point_difference_lower_minus_upper,projected_95ci_low,projected_95ci_high,equivalence_margin,equivalence_pass
6,16384,32768,600.0,golovin_relative_error_radius_moment_0_m3,-8.014604561796591e-05,-0.011162343052842054,0.011002050961606122,0.05,True
6,16384,32768,600.0,golovin_relative_error_radius_moment_6_um6_m3,0.01173651583644503,-0.025927754383955903,0.04940078605684596,0.05,True
6,16384,32768,1200.0,ensemble_mean_l1_bins_500,0.005853257028353542,0.0043079417887397975,0.032784761833810745,0.01,False
6,16384,32768,1200.0,golovin_relative_error_radius_moment_0_m3,0.0040571288564103655,-0.0093346373488386,0.01744889506165933,0.05,True
6,16384,32768,1200.0,golovin_relative_error_radius_moment_6_um6_m3,0.009304513644161018,-0.044828869761483175,0.06343789704980521,0.05,False
6,16384,32768,1800.0,ensemble_mean_l1_bins_500,0.0072090668655704175,0.0028386343843007015,0.0315341528920936,0.01,False
6,16384,32768,1800.0,golovin_relative_error_radius_moment_0_m3,0.0034602455734436075,-0.012656506489839023,0.01957699763672624,0.05,True
6,16384,32768,1800.0,golovin_relative_error_radius_moment_6_um6_m3,0.007117916265123314,-0.05600899049756469,0.07024482302781132,0.05,False
6,16384,32768,2400.0,ensemble_mean_l1_bins_500,0.00751030049743337,0.005245702247490288,0.034703252841134055,0.01,False
6,16384,32768,2400.0,golovin_relative_error_radius_moment_0_m3,0.0024852759826798354,-0.013775939324526951,0.018746491289886622,0.05,True
6,16384,32768,2400.0,golovin_relative_error_radius_moment_6_um6_m3,0.009559972069699996,-0.058511492456130534,0.07763143659553053,0.05,False
6,16384,32768,3000.0,ensemble_mean_l1_bins_500,0.0021359369937048803,0.0025103405278241067,0.038778413186609295,0.01,False
6,16384,32768,3000.0,golovin_relative_error_radius_moment_0_m3,0.002119471252625711,-0.014490483597599637,0.018729426102851058,0.05,True
6,16384,32768,3000.0,golovin_relative_error_radius_moment_6_um6_m3,0.007043881161207308,-0.07325199420989435,0.08733975653230898,0.05,False
6,16384,32768,3600.0,ensemble_mean_l1_bins_500,0.005348978564942396,0.0030201291297973464,0.04500384885407252,0.01,False
6,16384,32768,3600.0,golovin_relative_error_radius_moment_0_m3,0.002085467647579744,-0.014762543710615042,0.01893347900577453,0.05,True
6,16384,32768,3600.0,golovin_relative_error_radius_moment_6_um6_m3,-0.006194628109735574,-0.11268210867777953,0.10029285245830838,0.05,False
6,32768,65536,600.0,ensemble_mean_l1_bins_500,0.004128061565405553,0.0014170946854481726,0.021577844089544895,0.01,False
