case_index	run_label	matrix_stage	initialization_family	kernel	max_superdroplets	collision_timestep_s	observation_timestep_s	end_time_s	model_threads	member_index	initialization_seed	collision_seed	controlled_bundle_label
86	golovin_controlled_high_resolution_convergence_v1_N016384_dt0p1_m086	golovin_controlled_high_resolution_convergence_v1	controlled	golovin	16384	0.1	300.0	3600.0	1	86	not_applicable	17079340138179076288	golovin_controlled_highres_N016384_v1
87	golovin_controlled_high_resolution_convergence_v1_N016384_dt0p1_m087	golovin_controlled_high_resolution_convergence_v1	controlled	golovin	16384	0.1	300.0	3600.0	1	87	not_applicable	13525305594028576569	golovin_controlled_highres_N016384_v1
88	golovin_controlled_high_resolution_convergence_v1_N016384_dt0p1_m088	golovin_controlled_high_resolution_convergence_v1	controlled	golovin	16384	0.1	300.0	3600.0	1	88	not_applicable	8208411469974158993	golovin_controlled_highres_N016384_v1
89	golovin_controlled_high_resolution_convergence_v1_N016384_dt0p1_m089	golovin_controlled_high_resolution_convergence_v1	controlled	golovin	16384	0.1	300.0	3600.0	1	89	not_applicable	1879724847556394467	golovin_controlled_highres_N016384_v1
90	golovin_controlled_high_resolution_convergence_v1_N016384_dt0p1_m090	golovin_controlled_high_resolution_convergence_v1	controlled	golovin	16384	0.1	300.0	3600.0	1	90	not_applicable	12099005108625655471	golovin_controlled_highres_N016384_v1
91	golovin_controlled_high_resolution_convergence_v1_N016384_dt0p1_m091	golovin_controlled_high_resolution_convergence_v1	controlled	golovin	16384	0.1	300.0	3600.0	1	91	not_applicable	8200683078766497401	golovin_controlled_highres_N016384_v1
92	golovin_controlled_high_resolution_convergence_v1_N016384_dt0p1_m092	golovin_controlled_high_resolution_convergence_v1	controlled	golovin	16384	0.1	300.0	3600.0	1	92	not_applicable	5674404501530111233	golovin_controlled_highres_N016384_v1
93	golovin_controlled_high_resolution_convergence_v1_N016384_dt0p1_m093	golovin_controlled_high_resolution_convergence_v1	controlled	golovin	16384	0.1	300.0	3600.0	1	93	not_applicable	4391131558085101347	golovin_controlled_highres_N016384_v1
94	golovin_controlled_high_resolution_convergence_v1_N016384_dt0p1_m094	golovin_controlled_high_resolution_convergence_v1	controlled	golovin	16384	0.1	300.0	3600.0	1	94	not_applicable	10730126545359165603	golovin_controlled_highres_N016384_v1
95	golovin_controlled_high_resolution_convergence_v1_N016384_dt0p1_m095	golovin_controlled_high_resolution_convergence_v1	controlled	golovin	16384	0.1	300.0	3600.0	1	95	not_applicable	15690392954537224407	golovin_controlled_highres_N016384_v1
96	golovin_controlled_high_resolution_convergence_v1_N016384_dt0p1_m096	golovin_controlled_high_resolution_convergence_v1	controlled	golovin	16384	0.1	300.0	3600.0	1	96	not_applicable	16899483883238502199	golovin_controlled_highres_N016384_v1
97	golovin_controlled_high_resolution_convergence_v1_N016384_dt0p1_m097	golovin_controlled_high_resolution_convergence_v1	controlled	golovin	16384	0.1	300.0	3600.0	1	97	not_applicable	6872050309180221327	golovin_controlled_highres_N016384_v1
98	golovin_controlled_high_resolution_convergence_v1_N016384_dt0p1_m098	golovin_controlled_high_resolution_convergence_v1	controlled	golovin	16384	0.1	300.0	3600.0	1	98	not_applicable	10499255955477440750	golovin_controlled_highres_N016384_v1
99	golovin_controlled_high_resolution_convergence_v1_N016384_dt0p1_m099	golovin_controlled_high_resolution_convergence_v1	controlled	golovin	16384	0.1	300.0	3600.0	1	99	not_applicable	8992512008763673066	golovin_controlled_highres_N016384_v1
100	golovin_controlled_high_resolution_convergence_v1_N032768_dt0p1_m000	golovin_controlled_high_resolution_convergence_v1	controlled	golovin	32768	0.1	300.0	3600.0	1	0	not_applicable	13511684228980593232	golovin_controlled_highres_N032768_v1
101	golovin_controlled_high_resolution_convergence_v1_N032768_dt0p1_m001	golovin_controlled_high_resolution_convergence_v1	controlled	golovin	32768	0.1	300.0	3600.0	1	1	not_applicable	1087350727672701663	golovin_controlled_highres_N032768_v1
102	golovin_controlled_high_resolution_convergence_v1_N032768_dt0p1_m002	golovin_controlled_high_resolution_convergence_v1	controlled	golovin	32768	0.1	300.0	3600.0	1	2	not_applicable	3261771254686336399	golovin_controlled_highres_N032768_v1
