case_index	run_label	matrix_stage	initialization_family	kernel	max_superdroplets	collision_timestep_s	observation_timestep_s	end_time_s	model_threads	member_index	initialization_seed	collision_seed	controlled_bundle_label
87	golovin_controlled_resolution_convergence_v1_N008192_dt0p1_m007	golovin_controlled_resolution_convergence_v1	controlled	golovin	8192	0.1	300.0	3600.0	1	7	not_applicable	11901357453122873131	golovin_controlled_N008192_v1
88	golovin_controlled_resolution_convergence_v1_N008192_dt0p1_m008	golovin_controlled_resolution_convergence_v1	controlled	golovin	8192	0.1	300.0	3600.0	1	8	not_applicable	4682411146256184783	golovin_controlled_N008192_v1
89	golovin_controlled_resolution_convergence_v1_N008192_dt0p1_m009	golovin_controlled_resolution_convergence_v1	controlled	golovin	8192	0.1	300.0	3600.0	1	9	not_applicable	2495611626993996927	golovin_controlled_N008192_v1
90	golovin_controlled_resolution_convergence_v1_N008192_dt0p1_m010	golovin_controlled_resolution_convergence_v1	controlled	golovin	8192	0.1	300.0	3600.0	1	10	not_applicable	16939544610270936757	golovin_controlled_N008192_v1
91	golovin_controlled_resolution_convergence_v1_N008192_dt0p1_m011	golovin_controlled_resolution_convergence_v1	controlled	golovin	8192	0.1	300.0	3600.0	1	11	not_applicable	4096541200575092854	golovin_controlled_N008192_v1
92	golovin_controlled_resolution_convergence_v1_N008192_dt0p1_m012	golovin_controlled_resolution_convergence_v1	controlled	golovin	8192	0.1	300.0	3600.0	1	12	not_applicable	16818085540228733541	golovin_controlled_N008192_v1
93	golovin_controlled_resolution_convergence_v1_N008192_dt0p1_m013	golovin_controlled_resolution_convergence_v1	controlled	golovin	8192	0.1	300.0	3600.0	1	13	not_applicable	2041074576901159416	golovin_controlled_N008192_v1
94	golovin_controlled_resolution_convergence_v1_N008192_dt0p1_m014	golovin_controlled_resolution_convergence_v1	controlled	golovin	8192	0.1	300.0	3600.0	1	14	not_applicable	2690083700926340	golovin_controlled_N008192_v1
95	golovin_controlled_resolution_convergence_v1_N008192_dt0p1_m015	golovin_controlled_resolution_convergence_v1	controlled	golovin	8192	0.1	300.0	3600.0	1	15	not_applicable	9901921869722960544	golovin_controlled_N008192_v1
96	golovin_controlled_resolution_convergence_v1_N008192_dt0p1_m016	golovin_controlled_resolution_convergence_v1	controlled	golovin	8192	0.1	300.0	3600.0	1	16	not_applicable	14532184498988936600	golovin_controlled_N008192_v1
97	golovin_controlled_resolution_convergence_v1_N008192_dt0p1_m017	golovin_controlled_resolution_convergence_v1	controlled	golovin	8192	0.1	300.0	3600.0	1	17	not_applicable	2481135543028812874	golovin_controlled_N008192_v1
98	golovin_controlled_resolution_convergence_v1_N008192_dt0p1_m018	golovin_controlled_resolution_convergence_v1	controlled	golovin	8192	0.1	300.0	3600.0	1	18	not_applicable	14434019332651201019	golovin_controlled_N008192_v1
99	golovin_controlled_resolution_convergence_v1_N008192_dt0p1_m019	golovin_controlled_resolution_convergence_v1	controlled	golovin	8192	0.1	300.0	3600.0	1	19	not_applicable	17798476338139871713	golovin_controlled_N008192_v1
100	golovin_controlled_resolution_convergence_v1_N016384_dt0p1_m000	golovin_controlled_resolution_convergence_v1	controlled	golovin	16384	0.1	300.0	3600.0	1	0	not_applicable	14864896544536672165	golovin_controlled_N016384_v1
101	golovin_controlled_resolution_convergence_v1_N016384_dt0p1_m001	golovin_controlled_resolution_convergence_v1	controlled	golovin	16384	0.1	300.0	3600.0	1	1	not_applicable	18089105280270416217	golovin_controlled_N016384_v1
102	golovin_controlled_resolution_convergence_v1_N016384_dt0p1_m002	golovin_controlled_resolution_convergence_v1	controlled	golovin	16384	0.1	300.0	3600.0	1	2	not_applicable	6641259309435948541	golovin_controlled_N016384_v1
103	golovin_controlled_resolution_convergence_v1_N016384_dt0p1_m003	golovin_controlled_resolution_convergence_v1	controlled	golovin	16384	0.1	300.0	3600.0	1	3	not_applicable	9479628787980182183	golovin_controlled_N016384_v1
104	golovin_controlled_resolution_convergence_v1_N016384_dt0p1_m004	golovin_controlled_resolution_convergence_v1	controlled	golovin	16384	0.1	300.0	3600.0	1	4	not_applicable	16753628796577568436	golovin_controlled_N016384_v1
105	golovin_controlled_resolution_convergence_v1_N016384_dt0p1_m005	golovin_controlled_resolution_convergence_v1	controlled	golovin	16384	0.1	300.0	3600.0	1	5	not_applicable	3850467914064878598	golovin_controlled_N016384_v1
106	golovin_controlled_resolution_convergence_v1_N016384_dt0p1_m006	golovin_controlled_resolution_convergence_v1	controlled	golovin	16384	0.1	300.0	3600.0	1	6	not_applicable	17669245822852958907	golovin_controlled_N016384_v1
107	golovin_controlled_resolution_convergence_v1_N016384_dt0p1_m007	golovin_controlled_resolution_convergence_v1	controlled	golovin	16384	0.1	300.0	3600.0	1	7	not_applicable	12111355179408760039	golovin_controlled_N016384_v1
108	golovin_controlled_resolution_convergence_v1_N016384_dt0p1_m008	golovin_controlled_resolution_convergence_v1	controlled	golovin	16384	0.1	300.0	3600.0	1	8	not_applicable	3585968903795090245	golovin_controlled_N016384_v1
109	golovin_controlled_resolution_convergence_v1_N016384_dt0p1_m009	golovin_controlled_resolution_convergence_v1	controlled	golovin	16384	0.1	300.0	3600.0	1	9	not_applicable	9264494866243057954	golovin_controlled_N016384_v1
110	golovin_controlled_resolution_convergence_v1_N016384_dt0p1_m010	golovin_controlled_resolution_convergence_v1	controlled	golovin	16384	0.1	300.0	3600.0	1	10	not_applicable	10587577016624886210	golovin_controlled_N016384_v1
111	golovin_controlled_resolution_convergence_v1_N016384_dt0p1_m011	golovin_controlled_resolution_convergence_v1	controlled	golovin	16384	0.1	300.0	3600.0	1	11	not_applicable	17299193717147964796	golovin_controlled_N016384_v1
112	golovin_controlled_resolution_convergence_v1_N016384_dt0p1_m012	golovin_controlled_resolution_convergence_v1	controlled	golovin	16384	0.1	300.0	3600.0	1	12	not_applicable	8189348911797304094	golovin_controlled_N016384_v1
113	golovin_controlled_resolution_convergence_v1_N016384_dt0p1_m013	golovin_controlled_resolution_convergence_v1	controlled	golovin	16384	0.1	300.0	3600.0	1	13	not_applicable	2787012420773588447	golovin_controlled_N016384_v1
114	golovin_controlled_resolution_convergence_v1_N016384_dt0p1_m014	golovin_controlled_resolution_convergence_v1	controlled	golovin	16384	0.1	300.0	3600.0	1	14	not_applicable	4857062509121090638	golovin_controlled_N016384_v1
115	golovin_controlled_resolution_convergence_v1_N016384_dt0p1_m015	golovin_controlled_resolution_convergence_v1	controlled	golovin	16384	0.1	300.0	3600.0	1	15	not_applicable	11861799994081763072	golovin_controlled_N016384_v1
116	golovin_controlled_resolution_convergence_v1_N016384_dt0p1_m016	golovin_controlled_resolution_convergence_v1	controlled	golovin	16384	0.1	300.0	3600.0	1	16	not_applicable	8675714839819072892	golovin_controlled_N016384_v1
117	golovin_controlled_resolution_convergence_v1_N016384_dt0p1_m017	golovin_controlled_resolution_convergence_v1	controlled	golovin	16384	0.1	300.0	3600.0	1	17	not_applicable	11240932793660950592	golovin_controlled_N016384_v1
118	golovin_controlled_resolution_convergence_v1_N016384_dt0p1_m018	golovin_controlled_resolution_convergence_v1	controlled	golovin	16384	0.1	300.0	3600.0	1	18	not_applicable	9015126729290832050	golovin_controlled_N016384_v1
119	golovin_controlled_resolution_convergence_v1_N016384_dt0p1_m019	golovin_controlled_resolution_convergence_v1	controlled	golovin	16384	0.1	300.0	3600.0	1	19	not_applicable	1038810682085548968	golovin_controlled_N016384_v1
