case_index	run_label	matrix_stage	initialization_family	kernel	max_superdroplets	collision_timestep_s	observation_timestep_s	end_time_s	model_threads	member_index	initialization_seed	collision_seed	controlled_bundle_label
62	golovin_fixed10_high_resolution_screen_v2_N262144_dt0p1_m002	golovin_fixed10_high_resolution_screen_v2	controlled	golovin	262144	0.1	300.0	3600.0	1	2	not_applicable	1607283091190037766	golovin_fixed10_screen_N262144_v1
63	golovin_fixed10_high_resolution_screen_v2_N262144_dt0p1_m003	golovin_fixed10_high_resolution_screen_v2	controlled	golovin	262144	0.1	300.0	3600.0	1	3	not_applicable	10991333251404158760	golovin_fixed10_screen_N262144_v1
64	golovin_fixed10_high_resolution_screen_v2_N262144_dt0p1_m004	golovin_fixed10_high_resolution_screen_v2	controlled	golovin	262144	0.1	300.0	3600.0	1	4	not_applicable	3859234501865751534	golovin_fixed10_screen_N262144_v1
65	golovin_fixed10_high_resolution_screen_v2_N262144_dt0p1_m005	golovin_fixed10_high_resolution_screen_v2	controlled	golovin	262144	0.1	300.0	3600.0	1	5	not_applicable	9246374488240650768	golovin_fixed10_screen_N262144_v1
66	golovin_fixed10_high_resolution_screen_v2_N262144_dt0p1_m006	golovin_fixed10_high_resolution_screen_v2	controlled	golovin	262144	0.1	300.0	3600.0	1	6	not_applicable	3104664713150578136	golovin_fixed10_screen_N262144_v1
67	golovin_fixed10_high_resolution_screen_v2_N262144_dt0p1_m007	golovin_fixed10_high_resolution_screen_v2	controlled	golovin	262144	0.1	300.0	3600.0	1	7	not_applicable	14513404732716350424	golovin_fixed10_screen_N262144_v1
68	golovin_fixed10_high_resolution_screen_v2_N262144_dt0p1_m008	golovin_fixed10_high_resolution_screen_v2	controlled	golovin	262144	0.1	300.0	3600.0	1	8	not_applicable	13278762022830207176	golovin_fixed10_screen_N262144_v1
69	golovin_fixed10_high_resolution_screen_v2_N262144_dt0p1_m009	golovin_fixed10_high_resolution_screen_v2	controlled	golovin	262144	0.1	300.0	3600.0	1	9	not_applicable	13327263202519338592	golovin_fixed10_screen_N262144_v1
70	golovin_fixed10_high_resolution_screen_v2_N524288_dt0p1_m000	golovin_fixed10_high_resolution_screen_v2	controlled	golovin	524288	0.1	300.0	3600.0	1	0	not_applicable	13253876796887375548	golovin_fixed10_screen_N524288_v1
71	golovin_fixed10_high_resolution_screen_v2_N524288_dt0p1_m001	golovin_fixed10_high_resolution_screen_v2	controlled	golovin	524288	0.1	300.0	3600.0	1	1	not_applicable	7941092278903984835	golovin_fixed10_screen_N524288_v1
72	golovin_fixed10_high_resolution_screen_v2_N524288_dt0p1_m002	golovin_fixed10_high_resolution_screen_v2	controlled	golovin	524288	0.1	300.0	3600.0	1	2	not_applicable	6118271991302304563	golovin_fixed10_screen_N524288_v1
73	golovin_fixed10_high_resolution_screen_v2_N524288_dt0p1_m003	golovin_fixed10_high_resolution_screen_v2	controlled	golovin	524288	0.1	300.0	3600.0	1	3	not_applicable	13673218493124727457	golovin_fixed10_screen_N524288_v1
74	golovin_fixed10_high_resolution_screen_v2_N524288_dt0p1_m004	golovin_fixed10_high_resolution_screen_v2	controlled	golovin	524288	0.1	300.0	3600.0	1	4	not_applicable	3524075828018570918	golovin_fixed10_screen_N524288_v1
75	golovin_fixed10_high_resolution_screen_v2_N524288_dt0p1_m005	golovin_fixed10_high_resolution_screen_v2	controlled	golovin	524288	0.1	300.0	3600.0	1	5	not_applicable	9252799756902989389	golovin_fixed10_screen_N524288_v1
76	golovin_fixed10_high_resolution_screen_v2_N524288_dt0p1_m006	golovin_fixed10_high_resolution_screen_v2	controlled	golovin	524288	0.1	300.0	3600.0	1	6	not_applicable	10797129463191112869	golovin_fixed10_screen_N524288_v1
77	golovin_fixed10_high_resolution_screen_v2_N524288_dt0p1_m007	golovin_fixed10_high_resolution_screen_v2	controlled	golovin	524288	0.1	300.0	3600.0	1	7	not_applicable	6293185147233999081	golovin_fixed10_screen_N524288_v1
78	golovin_fixed10_high_resolution_screen_v2_N524288_dt0p1_m008	golovin_fixed10_high_resolution_screen_v2	controlled	golovin	524288	0.1	300.0	3600.0	1	8	not_applicable	15130139132901369762	golovin_fixed10_screen_N524288_v1
79	golovin_fixed10_high_resolution_screen_v2_N524288_dt0p1_m009	golovin_fixed10_high_resolution_screen_v2	controlled	golovin	524288	0.1	300.0	3600.0	1	9	not_applicable	4187115166652408205	golovin_fixed10_screen_N524288_v1
