ensemble_size,log_radius_bins,lower_max_superdroplets,upper_max_superdroplets,time_s,metric,lower_estimate,upper_estimate,absolute_change,one_sided_95_upper_bound,minimum_worthwhile_improvement,diminishing_returns_pass
40,500,16384,32768,1200.0,golovin_relative_error_radius_moment_0_m3,0.0024466386577396996,0.0026887332704738586,0.00024209461273415897,0.004122356177983926,0.01,True
40,500,16384,32768,1200.0,golovin_relative_error_radius_moment_6_um6_m3,0.006092859315079685,-0.00739538720665594,0.013488246521735626,0.025191498175036842,0.01,False
40,500,16384,32768,1800.0,ensemble_mean_l1,0.024590395866536007,0.017445218810517363,0.007145177056018644,0.014542887600674802,0.01,False
40,500,16384,32768,1800.0,golovin_relative_error_radius_moment_0_m3,0.003625600748910726,0.0031314312473334077,0.0004941695015773183,0.0047104835957730296,0.01,True
40,500,16384,32768,1800.0,golovin_relative_error_radius_moment_6_um6_m3,0.00455616609512371,-0.0076978164751835745,0.012253982570307284,0.026439058225468697,0.01,False
40,500,16384,32768,2400.0,ensemble_mean_l1,0.02253590416223944,0.016687649455753767,0.005848254706485673,0.013830308115226614,0.01,False
40,500,16384,32768,2400.0,golovin_relative_error_radius_moment_0_m3,0.0024365235315886883,0.003287625477014311,0.0008511019454256227,0.004974316989448456,0.01,True
40,500,16384,32768,2400.0,golovin_relative_error_radius_moment_6_um6_m3,0.01387818662891534,-0.015528022884931676,0.029406209513847016,0.04536028914877123,0.01,False
40,500,16384,32768,3000.0,ensemble_mean_l1,0.0280867466976071,0.020573627886877614,0.007513118810729486,0.017135165266406918,0.01,False
40,500,16384,32768,3000.0,golovin_relative_error_radius_moment_0_m3,0.002433035895467911,0.0029930667947293934,0.0005600308992614825,0.0047651495696238045,0.01,True
40,500,16384,32768,3000.0,golovin_relative_error_radius_moment_6_um6_m3,0.010470064613104551,-0.02249307971873487,0.03296314433183942,0.05198011471077559,0.01,False
40,500,16384,32768,3600.0,ensemble_mean_l1,0.034674979658225684,0.02383215109816364,0.010842828560062044,0.021449242165285855,0.01,False
40,500,16384,32768,3600.0,golovin_relative_error_radius_moment_0_m3,0.001555890687796474,0.002430675947166705,0.0008747852593702311,0.005137272924684466,0.01,True
40,500,16384,32768,3600.0,golovin_relative_error_radius_moment_6_um6_m3,0.012175448720790388,-0.020379346144741295,0.032554794865531686,0.056338748576247495,0.01,False
40,500,32768,65536,600.0,ensemble_mean_l1,0.013143174918709477,0.0109188977529697,0.0022242771657397763,0.00844662820644285,0.01,True
40,500,32768,65536,600.0,golovin_relative_error_radius_moment_0_m3,0.0023126102735409187,-0.0007844888775560444,0.003097099151096963,0.00511530482757441,0.01,True
40,500,32768,65536,600.0,golovin_relative_error_radius_moment_6_um6_m3,-0.005961521724115621,-0.002423054231127575,0.003538467492988046,0.009231901631894699,0.01,True
