ensemble_size,log_radius_bins,max_superdroplets,time_s,metric,estimate,95ci_low,95ci_high,analytical_margin,analytical_validity_pass,maximum_absolute_liquid_mass_drift,conservation_pass,maximum_out_of_range_mass_fraction,range_coverage_pass
20,500,131072,3000.0,golovin_relative_error_radius_moment_6_um6_m3,0.005526325415075889,-0.0031611860018589417,0.01421383683201072,0.05,True,1.384880876642569e-09,True,0.0,True
20,500,131072,3600.0,ensemble_mean_l1,0.014588204922945342,0.01749798232148852,0.026367197791192877,0.05,True,1.384880876642569e-09,True,0.0,True
20,500,131072,3600.0,golovin_relative_error_radius_moment_0_m3,-0.0028224296324300346,-0.005770844637138362,0.0001259853722782923,0.05,True,1.384880876642569e-09,True,0.0,True
20,500,131072,3600.0,golovin_relative_error_radius_moment_6_um6_m3,0.0002656038155979867,-0.012316899624487156,0.012848107255683128,0.05,True,1.384880876642569e-09,True,0.0,True
40,500,16384,600.0,ensemble_mean_l1,0.0203070549330251,0.02385974649733634,0.03408504021903084,0.05,True,4.197665104399562e-09,True,0.0,True
40,500,16384,600.0,golovin_relative_error_radius_moment_0_m3,0.0012818269839093787,-0.0017675083089611263,0.004331162276779883,0.05,True,4.197665104399562e-09,True,0.0,True
40,500,16384,600.0,golovin_relative_error_radius_moment_6_um6_m3,0.007387742979863212,-0.002074066444512407,0.016849552404238834,0.05,True,4.197665104399562e-09,True,0.0,True
40,500,16384,1200.0,ensemble_mean_l1,0.021337508334690006,0.024757726436730264,0.0344448553641831,0.05,True,4.197665104399562e-09,True,0.0,True
40,500,16384,1200.0,golovin_relative_error_radius_moment_0_m3,0.0024466386577396996,-0.0009142705988001388,0.005807547914279538,0.05,True,4.197665104399562e-09,True,0.0,True
40,500,16384,1200.0,golovin_relative_error_radius_moment_6_um6_m3,0.006092859315079685,-0.006394534397679662,0.018580253027839035,0.05,True,4.197665104399562e-09,True,0.0,True
40,500,16384,1800.0,ensemble_mean_l1,0.024590395866536007,0.02822336604793757,0.03756049220793555,0.05,True,4.197665104399562e-09,True,0.0,True
40,500,16384,1800.0,golovin_relative_error_radius_moment_0_m3,0.003625600748910726,-0.00032286083175969227,0.007574062329581145,0.05,True,4.197665104399562e-09,True,0.0,True
40,500,16384,1800.0,golovin_relative_error_radius_moment_6_um6_m3,0.00455616609512371,-0.009757119627508016,0.018869451817755435,0.05,True,4.197665104399562e-09,True,0.0,True
40,500,16384,2400.0,ensemble_mean_l1,0.02253590416223944,0.027246363769820807,0.03683991997463773,0.05,True,4.197665104399562e-09,True,0.0,True
40,500,16384,2400.0,golovin_relative_error_radius_moment_0_m3,0.0024365235315886883,-0.001598161545600771,0.006471208608778148,0.05,True,4.197665104399562e-09,True,0.0,True
40,500,16384,2400.0,golovin_relative_error_radius_moment_6_um6_m3,0.01387818662891534,-0.002829949217350934,0.030586322475181615,0.05,True,4.197665104399562e-09,True,0.0,True
40,500,16384,3000.0,ensemble_mean_l1,0.0280867466976071,0.03271225796992633,0.044675164739421264,0.05,True,4.197665104399562e-09,True,0.0,True
40,500,16384,3000.0,golovin_relative_error_radius_moment_0_m3,0.002433035895467911,-0.0016368939567655049,0.0065029657477013265,0.05,True,4.197665104399562e-09,True,0.0,True
40,500,16384,3000.0,golovin_relative_error_radius_moment_6_um6_m3,0.010470064613104551,-0.008471655380518823,0.029411784606727925,0.05,True,4.197665104399562e-09,True,0.0,True
40,500,16384,3600.0,ensemble_mean_l1,0.034674979658225684,0.040027813649407135,0.053991579962949315,0.05,False,4.197665104399562e-09,True,0.0,True
40,500,16384,3600.0,golovin_relative_error_radius_moment_0_m3,0.001555890687796474,-0.002597844673535855,0.005709626049128803,0.05,True,4.197665104399562e-09,True,0.0,True
40,500,16384,3600.0,golovin_relative_error_radius_moment_6_um6_m3,0.012175448720790388,-0.010352051942475817,0.03470294938405659,0.05,True,4.197665104399562e-09,True,0.0,True
40,500,32768,600.0,ensemble_mean_l1,0.013143174918709477,0.01651520919531779,0.0229989539827284,0.05,True,3.442459872715631e-09,True,0.0,True
40,500,32768,600.0,golovin_relative_error_radius_moment_0_m3,0.0023126102735409187,0.0001913236285143536,0.004433896918567484,0.05,True,3.442459872715631e-09,True,0.0,True
40,500,32768,600.0,golovin_relative_error_radius_moment_6_um6_m3,-0.005961521724115621,-0.011402811387893688,-0.0005202320603375525,0.05,True,3.442459872715631e-09,True,0.0,True
