max_superdroplets,time_s,metric,ensemble_members,point_estimate,bootstrap_variance_of_estimate,variance_coefficient_n_times_variance
131072,1200.0,ensemble_mean_l1,80,0.005277126291022572,3.324473265118489e-07,2.659578612094791e-05
131072,1200.0,golovin_relative_error_radius_moment_0_m3,80,-0.000658806446627258,3.2248095250125025e-07,2.579847620010002e-05
131072,1200.0,golovin_relative_error_radius_moment_6_um6_m3,80,-0.0001079295090158694,3.266089694814509e-06,0.00026128717558516074
131072,1200.0,ensemble_mean_l1,100,0.004617315337386137,2.291166128641841e-07,2.291166128641841e-05
131072,1200.0,golovin_relative_error_radius_moment_0_m3,100,-0.00023901142748986693,2.656398530283096e-07,2.6563985302830963e-05
131072,1200.0,golovin_relative_error_radius_moment_6_um6_m3,100,-0.0007234679170306646,2.3576158660158152e-06,0.0002357615866015815
131072,1800.0,ensemble_mean_l1,40,0.010864042604661393,7.113811341392668e-07,2.845524536557067e-05
131072,1800.0,golovin_relative_error_radius_moment_0_m3,40,-0.0014571029240750156,9.294615612807906e-07,3.717846245123163e-05
131072,1800.0,golovin_relative_error_radius_moment_6_um6_m3,40,-0.0009986904152228166,5.460661167163113e-06,0.0002184264466865245
131072,1800.0,ensemble_mean_l1,60,0.010180411570186083,4.221635395547082e-07,2.5329812373282492e-05
131072,1800.0,golovin_relative_error_radius_moment_0_m3,60,-0.0012249545695620571,5.115764859619584e-07,3.069458915771751e-05
131072,1800.0,golovin_relative_error_radius_moment_6_um6_m3,60,-0.0003099532608837626,4.718922161535679e-06,0.0002831353296921407
131072,1800.0,ensemble_mean_l1,80,0.009476962713521867,2.6575337847020544e-07,2.1260270277616436e-05
131072,1800.0,golovin_relative_error_radius_moment_0_m3,80,-0.000956986963131351,3.725934590260266e-07,2.9807476722082126e-05
131072,1800.0,golovin_relative_error_radius_moment_6_um6_m3,80,-0.0009651329443954026,3.5818165900352035e-06,0.0002865453272028163
131072,1800.0,ensemble_mean_l1,100,0.008875301948060499,2.0438925439652218e-07,2.0438925439652218e-05
131072,1800.0,golovin_relative_error_radius_moment_0_m3,100,-0.0005763945398533843,2.979959507218595e-07,2.979959507218595e-05
131072,1800.0,golovin_relative_error_radius_moment_6_um6_m3,100,-0.0008139471980024315,2.998415223579455e-06,0.0002998415223579455
131072,2400.0,ensemble_mean_l1,40,0.008577370609506635,7.267114230689576e-07,2.9068456922758304e-05
131072,2400.0,golovin_relative_error_radius_moment_0_m3,40,-0.0016214434934580801,9.682285634221225e-07,3.87291425368849e-05
131072,2400.0,golovin_relative_error_radius_moment_6_um6_m3,40,0.00042746685560737243,9.356799294064005e-06,0.0003742719717625602
131072,2400.0,ensemble_mean_l1,60,0.00795349635506417,4.143299004668525e-07,2.485979402801115e-05
131072,2400.0,golovin_relative_error_radius_moment_0_m3,60,-0.0013933302382331666,5.230395364674805e-07,3.138237218804883e-05
131072,2400.0,golovin_relative_error_radius_moment_6_um6_m3,60,0.0008720085126411129,6.915781713182996e-06,0.0004149469027909798
131072,2400.0,ensemble_mean_l1,80,0.007775755049900672,2.6968508883184496e-07,2.1574807106547598e-05
131072,2400.0,golovin_relative_error_radius_moment_0_m3,80,-0.0011306514510927997,3.867459416158543e-07,3.093967532926835e-05
131072,2400.0,golovin_relative_error_radius_moment_6_um6_m3,80,-0.0006516842844744866,5.344045745014303e-06,0.0004275236596011443
131072,2400.0,ensemble_mean_l1,100,0.0072672269222525685,2.0630507907551946e-07,2.0630507907551945e-05
131072,2400.0,golovin_relative_error_radius_moment_0_m3,100,-0.0007640001765475423,3.2538890187916844e-07,3.253889018791684e-05
131072,2400.0,golovin_relative_error_radius_moment_6_um6_m3,100,-0.00193406438873027,4.22745304307511e-06,0.00042274530430751097
131072,3000.0,ensemble_mean_l1,40,0.009442594667348689,1.1685556028395352e-06,4.6742224113581406e-05
131072,3000.0,golovin_relative_error_radius_moment_0_m3,40,-0.001545183544624168,1.0240116635160992e-06,4.096046654064397e-05
131072,3000.0,golovin_relative_error_radius_moment_6_um6_m3,40,0.002091031774921012,1.3665937853328884e-05,0.0005466375141331553
131072,3000.0,ensemble_mean_l1,60,0.007712058395787535,6.225272979053984e-07,3.7351637874323906e-05
131072,3000.0,golovin_relative_error_radius_moment_0_m3,60,-0.0014219990788193174,5.671655966873101e-07,3.4029935801238606e-05
131072,3000.0,golovin_relative_error_radius_moment_6_um6_m3,60,0.0015326708501756103,9.421079571862622e-06,0.0005652647743117573
131072,3000.0,ensemble_mean_l1,80,0.006626132802522743,3.8925421785959754e-07,3.1140337428767805e-05
131072,3000.0,golovin_relative_error_radius_moment_0_m3,80,-0.001148201699313478,4.0340174960162237e-07,3.227213996812979e-05
131072,3000.0,golovin_relative_error_radius_moment_6_um6_m3,80,0.0009291513767899301,7.0417846299241546e-06,0.0005633427703939323
131072,3000.0,ensemble_mean_l1,100,0.0057781926502808705,2.9556071541258714e-07,2.9556071541258712e-05
131072,3000.0,golovin_relative_error_radius_moment_0_m3,100,-0.000832578099265201,3.371047226217078e-07,3.371047226217078e-05
131072,3000.0,golovin_relative_error_radius_moment_6_um6_m3,100,-3.328367781741615e-05,5.569955479769429e-06,0.0005569955479769429
131072,3600.0,ensemble_mean_l1,40,0.010773490429269904,1.6417975052049994e-06,6.567190020819998e-05
131072,3600.0,golovin_relative_error_radius_moment_0_m3,40,-0.0017153367578280787,1.0725900755292904e-06,4.290360302117162e-05
131072,3600.0,golovin_relative_error_radius_moment_6_um6_m3,40,0.003696609287049779,2.0254915444935073e-05,0.0008101966177974029
131072,3600.0,ensemble_mean_l1,60,0.00987184945513563,8.698119934735221e-07,5.218871960841133e-05
