lower_max_superdroplets,upper_max_superdroplets,time_s,log_radius_bins,projected_members_each_resolution,estimate_held_fixed,projected_95ci_low,projected_95ci_high,projected_largest_absolute_interval_edge,equivalence_margin,projected_equivalence_pass,projection_method
16384,32768,600.0,500,150,0.003683629285226267,0.0022879358267645514,0.007652687195778268,0.007652687195778268,0.01,True,observed_95ci_scaled_by_sqrt_100_over_n
16384,32768,600.0,500,200,0.003683629285226267,0.00247492329430266,0.007120934264855884,0.007120934264855884,0.01,True,observed_95ci_scaled_by_sqrt_100_over_n
16384,32768,600.0,500,300,0.003683629285226267,0.002696724976290283,0.006490177048699697,0.006490177048699697,0.01,True,observed_95ci_scaled_by_sqrt_100_over_n
16384,32768,600.0,500,400,0.003683629285226267,0.0028289450825833787,0.006114170945328657,0.006114170945328657,0.01,True,observed_95ci_scaled_by_sqrt_100_over_n
16384,32768,600.0,500,600,0.003683629285226267,0.002985782555995409,0.005668158240502267,0.005668158240502267,0.01,True,observed_95ci_scaled_by_sqrt_100_over_n
16384,32768,600.0,500,800,0.003683629285226267,0.0030792762897644634,0.005402281775041076,0.005402281775041076,0.01,True,observed_95ci_scaled_by_sqrt_100_over_n
16384,32768,600.0,500,1000,0.003683629285226267,0.003143079533122981,0.005220838803996338,0.005220838803996338,0.01,True,observed_95ci_scaled_by_sqrt_100_over_n
16384,32768,600.0,500,1500,0.003683629285226267,0.003242272260812604,0.004938755601471585,0.004938755601471585,0.01,True,observed_95ci_scaled_by_sqrt_100_over_n
16384,32768,600.0,500,2000,0.003683629285226267,0.0033014028899453264,0.004770600560053093,0.004770600560053093,0.01,True,observed_95ci_scaled_by_sqrt_100_over_n
16384,32768,600.0,500,2500,0.003683629285226267,0.0033417556041691115,0.004655845949267223,0.004655845949267223,0.01,True,observed_95ci_scaled_by_sqrt_100_over_n
16384,32768,600.0,1000,100,0.007187941311465525,0.004958341445552438,0.01228772488915293,0.01228772488915293,0.01,False,observed_95ci_scaled_by_sqrt_100_over_n
16384,32768,600.0,1000,150,0.007187941311465525,0.005367480644110573,0.011351897166118657,0.011351897166118657,0.01,False,observed_95ci_scaled_by_sqrt_100_over_n
16384,32768,600.0,1000,200,0.007187941311465525,0.005611376126945764,0.010794032861832082,0.010794032861832082,0.01,False,observed_95ci_scaled_by_sqrt_100_over_n
16384,32768,600.0,1000,300,0.007187941311465525,0.005900681228695451,0.010132302732852181,0.010132302732852181,0.01,False,observed_95ci_scaled_by_sqrt_100_over_n
16384,32768,600.0,1000,400,0.007187941311465525,0.006073141378508982,0.009737833100309227,0.009737833100309227,0.01,True,observed_95ci_scaled_by_sqrt_100_over_n
16384,32768,600.0,1000,600,0.007187941311465525,0.006277710977788049,0.009269919238792092,0.009269919238792092,0.01,True,observed_95ci_scaled_by_sqrt_100_over_n
